,Name,Series title,Country of publication,Material type,Place of publication,Publisher,Genre,Languages
0,"Rossetti, Christina Georgina",,England,Volume,London,Folio Society,,English
1,,Anthem nineteenth century studies,England,Online resource,London,Anthem,Biography ; Criticsm and interpretation ; History,English
2,"Wood, Charles",,,Volume,,Boosey,,
3,,Oxford Christmas music,United States of America,Volume,New York,Oxford University Press,,English
4,"Darke, Harold",,England,Volume,London,Stainer & Bell,,English
5,"Pott, Francis",,England,Volume,Chipping Norton,Composers,Song,English
6,"Williamson, Malcolm",,,Volume,,Weinberger,,
7,"Rossetti, Christina Georgina",,England ; Scotland,Volume,Edinburgh ; London,Macmillan,,
8,"Rossetti, Christina Georgina",,,Volume,,,,
9,"Chapman, Alison",Author chronologies,England,Volume,Basingstoke,Palgrave Macmillan,Chronology,English
10,"Rossetti, Christina Georgina",,,Volume,,,,
11,,Anthem nineteenth century studies,England,Online resource,London,Anthem,Biography ; Criticsm and interpretation ; History,English
12,"Helvey, Howard",A cathedral series,United States of America,Volume,"Milwaukee, Wisconsin ; New York",Boosey & Hawkes ; Hal Leonard,,English
13,"Byrchmore, Ruth",,England,Volume,London,Novello,,English
14,,,England,Volume,Tewkesbury,Association of English Singers & Speakers ; Goodmusic,Excerpt,English
15,,,England,Volume,Tewkesbury,Association of English Singers & Speakers ; Goodmusic,Excerpt,English
16,"Rossetti, Christina Georgina",,England,Volume,London,Faber,,English
17,"Rossetti, Christina Georgina",,England,Volume,London,Faber,,
18,"Finzi, Gerald",,England ; United States of America,Volume,New York,Boosey & Hawkes,,English
19,"Rossetti, Christina Georgina",,United States of America,Volume,Boston,Roberts Brothers,,English
20,"Routh, Francis",,England,Volume,London,Redcliffe,Music,English ; Latin
21,"Browning, Elizabeth Barrett",,England,Volume,London,Aurum,,English
22,"Arens, Barbara",,England,Volume,London,Musica Ferrum,Song,English
23,"Rossetti, Christina Georgina",,England,Volume,Liverpool,,,English
24,"Voth, Ellen Gilson",Oxford Advent music,United States of America,Volume,New York,Oxford University Press,,English
25,"Voth, Ellen Gilson",Oxford Advent music,United States of America,Volume,New York,Oxford University Press,,English
26,"Westcott, Brooke Foss",,England ; United States of America,Volume,London ; New York,E. & J. B. Young ; Society for Promoting Christian Knowledge,,English
27,"Dobson, Helen",NATE classic reading,England,Volume,Sheffield,National Association for the Teaching of English,,English
28,"Westcott, Brooke Foss",,United States of America,Volume,"Folcroft, Pennsylvania",Folcroft,,English
29,"Baigent, Bertie",Choral now,England,Volume,London,Stainer & Bell,,English
30,"Rossetti, Christina Georgina",,England,Volume,London,S.P.C.K,,
31,"Rossetti, Christina Georgina",,England,Volume,London ; Oxford,,,
32,"Thomas, Eleanor Walter",Columbia University Studies in English and Comparative Literature,United States of America,Volume,New York,,,
33,,,India,Volume,Madras,,,
34,"Birkhead, Edith",Poetry & Life Series,England,Volume,London,G. G. Harrap,,
35,"Battiscombe, Georgina",Writers and their work,England,Volume,London,British Council ; Longmans Green ; National Book League,,
36,"Packer, Lona Mosk",,United States of America,Volume,Berkeley ; Cambridge ; Los Angeles,Cambridge University Press ; University of California Press,,
37,"Hoennighausen, Gisela",,,Volume,,Bonn,,German
38,"Stuart, Dorothy Margaret",English Men of Letters,England,Volume,London,Macmillan,,
39,"Stuart, Dorothy Margaret",English Association. Pamphlet,England,Volume,London,,,
40,"Zaturenska, Marya",,United States of America,Volume,New York,Macmillan,,
41,"Shove, Fredegond",,,Volume,Cambridge,University Press,,
42,"Sawtell, Margaret",,England,Volume,London,A. R. Mowbray,,
43,"Bell, Henry Thomas Mackenzie",,England,Volume,London,Hurst & Blackett,,
