"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"'Goblin market' and selected poems","","015977722","Monograph","Language material ; Text","Volume","GBB271576","","","Rossetti, Christina Georgina","1830-1894","person","","Tamaki, Jillian, 1980- [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Folio Society (London, England) [organisation]","","","England","London","Folio Society","2011","","xix, 130 pages, 10 leaves of plates, colour illustrations, 27 cm","821.8","YK.2012.b.7834","","","English","In slipcase ; Includes index",""
"'It once should save as well as kill': DG Rossetti and the Feminine","A Sort of Aesthetico-Catholic Revival: Christina Rossetti and the London Ritualist Scene ; Christina's Challenge to Victorian Mentality: the Parodic, Unconventional Pattern of 'My Dream' ; Copyright and Control: Christina Rossetti and her Publishers ; DG Rossetti and the Art of the Inner Standing-Point ; In the Footsteps of His Father? Dantean Allegory in Gabriele Rossetti and Dante Gabriel Rossetti ; Introduction ; Maundering Medievalism: Dante Gabriel Rossetti and William Morris's Poetry ; Mystic, Madwoman or Metaphysician?: The Analogical Theodicy of Christina Rossetti ; Outsiders looking in : the Rossettis then and now ; Pews, Periodicals and Politics: The Rossetti Women as High Church Controversialists ; Pursuing the Well-Beloved: Thomas Hardy, Jocelyn Pearston and the School of Rossetti ; Recollections of PB Shelley: William Michael Rossetti, Political Commitment and Literary Capital ; Sibling Cultures ; The Aesthetics of Morbidity: DG Rossetti and Buchanan's The Fleshly School of Poetry ; The Taxman and the Aesthete: the Canon according to William Michael Rossetti ; William Michael and Lucy Rossetti: Outsider Insiders -- The True Cosmopolitans","017990183","Monograph","Language material ; Text","Online resource","GBB702288","","9780857287496 ; 9781843313380","","","","","Clifford, David [person] ; Roussillon, Laurence [person]","Anthem nineteenth century studies","","England","London","Anthem","2004","","1 online resource (xiv, 284 pages), illustrations","700.922","ELD.DS.83792","Poets, English--19th century--Biography ; Cultuurgeschiedenis ; Rossetti, William Michael, 1829-1919 ; Rossetti, Lucy Madox Brown, 1843-1894 ; Rossetti, Christina Georgina, 1830-1894 ; BIOGRAPHY & AUTOBIOGRAPHY--Artists, Architects, Photographers ; Great Britain--Intellectual life--19th century ; Arts, English--19th century ; English literature ; Italians--Great Britain--History--19th century ; Rossetti, Dante Gabriel, 1828-1882 ; Victoriaanse tijd ; Critics ; Critics--Great Britain--Biography ; Painters ; Rossetti family ; Painters--Great Britain--Biography ; English literature--19th century--History and criticism","Biography ; Criticsm and interpretation ; History","English","",""
"10 Songs, for low voice [& piano]","","014957421","Monograph","Notated music","Volume","","","","Wood, Charles","1866-1926","person","","Wood, Charles, 1866-1926 [person] ; O'Neill, M. [person] ; Whitman, Walt, 1819-1892 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","","","Boosey","1927","","","780","H02/0792","","","","",""
"3 carols for Christmas","Carols for Christmas ; Cherubic pilgrim ; In the bleak mid-winter ; Love came down at Christmas ; Three carols for Christmas : for unaccompanied mixed choir (SATB)","013177887","Monograph","Notated music","Volume","","","9780193867697","","","","","Angelus Silesius, 1624-1677 [person] ; Lockwood, Robert (Robert M.) [person] ; Bacon, Ernst, 1898-1990 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Oxford Christmas music","","United States of America","New York","Oxford University Press","2004","","1 score (7 pages), 27 cm","782.5281723","F.638.y. (2.)","Angelus Silesius, 1624-1677--Musical settings ; Carols, English ; Christmas music ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Words by Christina Rossetti (1st and 3rd works) and Angelus Silesius (2nd work)",""
"3 carols","Carols. Selections ; Christmas Carmen ; Cradle hymn ; Love came down at Christmas ; Three carols","012201186","Monograph","Notated music","Volume","","","","Darke, Harold","1888-1976","person","","Darke, Harold, 1888-1976 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Whittier, John Greenleaf, 1807-1892 [person]","","","England","London","Stainer & Bell","2002","","1 score (8 pages), 26 cm","782.5281723","E.756.g. (1.)","Carols, English ; Whittier, John Greenleaf, 1807-1892--Musical settings ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Sacred songs (Medium voice) with piano ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","1st and 3rd works for mixed chorus (SATB) unacc.; 2nd work for solo or unison voices and piano ; Words by Christina Rossetti (1st work) and John Greenleaf Whittier (3rd work)",""
"4 songs on nineteenth century texts","Four songs on nineteenth century texts : for tenor and piano : 2016 ; Songs on nineteenth century texts","018547529","Monograph","Notated music","Volume","","","","Pott, Francis","1957-","person","composer","Pott, Francis, 1957-, composer [person] ; Clare, John, 1793-1864 [person] ; Rossetti, Dante Gabriel, 1828-1882 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Beddoes, Thomas Lovell, 1803-1849 [person]","","","England","Chipping Norton","Composers","2016","","1 score (34 pages), 30 cm","783.8742","G.1586. (14.)","Rossetti, Christina Georgina, 1830-1894--Musical settings ; Songs (High voice) with piano ; Beddoes, Thomas Lovell, 1803-1849--Musical settings ; Clare, John, 1793-1864--Musical settings ; Rossetti, Dante Gabriel, 1828-1882--Musical settings","Song","English","Cover title ; Includes composer's note",""
"6 English lyrics, for low voice and string orchestra. Min. score","","015053370","Monograph","Notated music","Volume","","","","Williamson, Malcolm","1931-2003","person","","Hunt, Leigh, 1784-1859 [person] ; Williamson, Malcolm, 1931-2003 [person] ; Waller, Edmund, 1606-1687 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Tennyson, Alfred Tennyson, Baron, 1809-1892 [person]","","","","","Weinberger","1969","","miniature score","780","mH00/2301","","","","",""
"A Pageant, and other poems","","003165350","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England ; Scotland","Edinburgh ; London","Macmillan","1881","","ix 198 pages (8°)","","11646.d.67","","","","",""
"A Poet's Prayers","","003165351","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","","","","1911","","67 pages","","012213.a.1/1","","","","",""
"A Rossetti family chronology","","013547200","Monograph","Language material ; Text","Volume","GBA676456","","9781403912190","Chapman, Alison","1970-","person","","Meacock, Joanna, 1975- [person] ; Chapman, Alison, 1970- [person]","Author chronologies","","England","Basingstoke","Palgrave Macmillan","2007","","xxvi, 484 pages, 22 cm","821.8","YC.2012.a.4982 ; m07/.26977","Authors, English--19th century--Chronology ; Rossetti family--Chronology ; Rossetti, Dante Gabriel, 1828-1882--Chronology ; Rossetti, Christina Georgina, 1830-1894--Chronology ; Rossetti, Maria Francesca, 1827-1876--Chronology ; Poets, English--19th century--Chronology ; Rossetti, William Michael, 1829-1919--Chronology ; Rossetti, Gabriele, 1783-1854--Chronology ; London (England)--Intellectual life--19th century","Chronology","English","",""
