"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"016.8218","007417861","Monograph","Language material ; Text","Volume","","","9780816178476","Crump, R. W. (Rebecca W.)","1944-","person","","Crump, R. W. (Rebecca W.), 1944- [person]","Christina Rossetti : a reference guide","","Reference guides in literature","number 4 [Reference guides in literature]","United States of America","Boston, Massachusetts","G.K. Hall","1976","","172 pages, 21 cm","7331.912000 ; X.989/54251","Women and literature--England--Bibliography ; Rossetti, Christina Georgina, 1830-1894--Bibliography ; Poetry in English--Rossetti, Christina--Bibliographies","","English","",""
"242.2","009448463","Monograph","Language material ; Text","Volume","GB9925935","","9780745940786","Page, Nick","1961-","person","","Page, Nick, 1961- [person]","The wisdom of Christina Rossetti","Christina Rossetti","Lion giftlines ; The wisdom of","","England","Oxford","Lion","1999","","48 pages, colour illustrations, 16 cm","YK.2001.a.901","Meditations ; Rossetti, Christina Georgina, 1830-1894--Quotations","","English","",""
"242.8","009420346","Monograph","Language material ; Text","Volume","GB8868279","","9780551017665","Rossetti, Christina Georgina","1830-1894","person","","Castle, Tony, 1938- [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","The prayers of a Christina Rossetti","","","","England","","Marshall Pickering","1989","","32 pages","YC.1989.a.8609","Christian life--Prayers--Texts ; Prayer-books","","English","",""
"398.20941","014678396","Monograph","Language material ; Text","Volume","GBA899798","","9780773451025","Manson, Cynthia","","person","","Manson, Cynthia [person]","The fairy-tale literature of Charles Dickens, Christina Rossetti, and George MacDonald : antidotes to the Victorian spiritual crisis","","","","United States of America","Lampeter ; Lewiston","Edwin Mellen","2008","","volumes, 148 pages, 2 pages of plates, colour illustrations, 24 cm","YC.2008.a.10030 ; m08/.27726","Fairy tales--Great Britain--History and criticism ; Religion and science--Great Britain--History--19th century ; Spirituality in literature ; Symbolism in fairy tales ; Dickens, Charles, 1812-1870 ; Christianity and literature--Great Britain--History--19th century ; MacDonald, George, 1824-1905 ; Rossetti, Christina Georgina, 1830-1894 ; English literature--19th century--History and criticism ; Sleeping Beauty (Tale)--Adaptations--History and criticism","","English","",""
"700.922","006946004","Monograph","Language material ; Text","Volume","GBA3W2535","","9781843311058 ; 9781843311065","","","","","Clifford, David [person] ; Roussillon, Laurence [person]","Outsiders looking in : the Rossettis then and now","","Anthem nineteenth century studies","","England","London","Anthem","2004","","xiv, 284 pages, illustrations, 24 cm","YK.2006.a.4530 ; m06/.24897","Painters--Great Britain--Biography ; Critics--Great Britain--Biography ; Poets, English--19th century--Biography ; Italians--Great Britain--History--19th century ; Rossetti, William Michael, 1829-1919 ; Rossetti, Dante Gabriel, 1828-1882 ; Rossetti, Christina Georgina, 1830-1894 ; Rossetti family ; English literature--19th century--History and criticism ; Great Britain--Intellectual life--19th century ; Arts, English--19th century","Biography","English","",""
"700.922","015896211","Monograph","Language material ; Text","Volume","GBB256563","","9781907822018","Roe, Dinah","1976-","person","","Roe, Dinah, 1976- [person]","The Rossettis in wonderland : a Victorian family history","","","","England","London","Haus","2011","","xviii, 412 pages, 8 pages of plates, illustrations (some colour), 22 cm","YC.2012.a.11561","Painters--Great Britain--Biography ; Critics--Great Britain--Biography ; Rossetti family--Biography ; Great Britain--Intellectual life--19th century ; Poets, English--19th century--Biography ; Italians--Great Britain--History--19th century ; Rossetti, William Michael, 1829-1919 ; Rossetti, Dante Gabriel, 1828-1882 ; Rossetti, Christina Georgina, 1830-1894 ; Arts, English--19th century","Biography","English","",""
"700.922","017990183","Monograph","Language material ; Text","Online resource","GBB702288","","9780857287496 ; 9781843313380","","","","","Clifford, David [person] ; Roussillon, Laurence [person]","Outsiders looking in : the Rossettis then and now","'It once should save as well as kill': DG Rossetti and the Feminine ; A Sort of Aesthetico-Catholic Revival: Christina Rossetti and the London Ritualist Scene ; Christina's Challenge to Victorian Mentality: the Parodic, Unconventional Pattern of 'My Dream' ; Copyright and Control: Christina Rossetti and her Publishers ; DG Rossetti and the Art of the Inner Standing-Point ; In the Footsteps of His Father? Dantean Allegory in Gabriele Rossetti and Dante Gabriel Rossetti ; Introduction ; Maundering Medievalism: Dante Gabriel Rossetti and William Morris's Poetry ; Mystic, Madwoman or Metaphysician?: The Analogical Theodicy of Christina Rossetti ; Pews, Periodicals and Politics: The Rossetti Women as High Church Controversialists ; Pursuing the Well-Beloved: Thomas Hardy, Jocelyn Pearston and the School of Rossetti ; Recollections of PB Shelley: William Michael Rossetti, Political Commitment and Literary Capital ; Sibling Cultures ; The Aesthetics of Morbidity: DG Rossetti and Buchanan's The Fleshly School of Poetry ; The Taxman and the Aesthete: the Canon according to William Michael Rossetti ; William Michael and Lucy Rossetti: Outsider Insiders -- The True Cosmopolitans","Anthem nineteenth century studies","","England","London","Anthem","2004","","1 online resource (xiv, 284 pages), illustrations","ELD.DS.83792","Poets, English--19th century--Biography ; Cultuurgeschiedenis ; Rossetti, William Michael, 1829-1919 ; Rossetti, Lucy Madox Brown, 1843-1894 ; Rossetti, Christina Georgina, 1830-1894 ; BIOGRAPHY & AUTOBIOGRAPHY--Artists, Architects, Photographers ; Great Britain--Intellectual life--19th century ; Arts, English--19th century ; English literature ; Italians--Great Britain--History--19th century ; Rossetti, Dante Gabriel, 1828-1882 ; Victoriaanse tijd ; Critics ; Critics--Great Britain--Biography ; Painters ; Rossetti family ; Painters--Great Britain--Biography ; English literature--19th century--History and criticism","Biography ; Criticsm and interpretation ; History","English","",""
"709.04082","016480349","Monograph","Language material ; Still image ; Text ; Three-dimensional form","Object ; Volume","GBB375571","","","Landers, Linda Anne","","person","author","Landers, Linda Anne, author [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Poems, parachute and hand made figure inspired by Felix Baumgartner's jump from the edge of space","De Profundis","","","England","London","Linda Landers","2013","","1 paper parachute, 1 threaded hand made figure, 1 sheet, 1 pamphlet, colour illustrations, box 18 x 11 cm","RF.2013.a.115","Artists' illustrated books--Great Britain","","English","In box with text explaining the bookwork printed inside the lid ; Includes: A folded paper parachute of lightweight Zerkall paper attached to a hand made figure of Felix Baumgartner -- Two short poems by William Blake printed on a tear drop shaped sheet representing the drogue chute -- One poem 'De Profundis' by Christina Rossetti printed in pamphlet form ; Limited edition of 10 copies ; Title devised by cataloguer",""
"760.0924","009614037","Monograph","Language material ; Text","Volume","","","9780838319437","Cary, Elisabeth Luther","1867-1936","person","","Cary, Elisabeth Luther, 1867-1936 [person]","The Rossettis : Dante Gabriel and Christina","","","","United States of America","New York","Haskell House","1974","","iv, 310 pages, portraits, 22 cm","85/18905","Rossetti, Dante Gabriel, 1828-1882 ; Rossetti, Christina Georgina, 1830-1894 ; Artists--Great Britain--Biography ; Pre-Raphaelitism--England ; Poets, English--19th century--Biography","","English","Includes index",""
"780","004748460","Monograph","Notated music","Volume","","","","Vaughan Williams, Ralph","1872-1958","person","","Vaughan Williams, Ralph, 1872-1958 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Sound sleep : trio for female voices","","Novello's octavo edition of trios, &c, for female voices","number 349 [Novello's octavo edition of trios, &c, for female voices]","England","London","Novello","1903","","1 score, 27 cm","E.1746 ; F.638.uu. (1.)","Choruses, Secular (Women's voices, 3 parts) with piano","","English","For SSA and piano",""
