"BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"000259916","Monograph","Language material ; Text","Volume","","","","Bell, Henry Thomas Mackenzie","","person","","Bell, Henry Thomas Mackenzie [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Anderson, John Parker, 1841-1925 [person]","Christina Rossetti: a biographical and critical study, etc. (Bibliography by J. P. Anderson.)","Appendix","","","England","London","Hurst & Blackett","1898","","xvi, 364 pages (8°)","","10856.f.15","","","","",""
"000260610","Monograph","Language material ; Text","Volume","","","","Bell, Maurice Frederick","","person","","Bell, Maurice Frederick [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market, dramatized from Christina Rossetti's poem","","Plays for Villages","","","Lifton","","1923","","15 pages (8°)","","W.P.7310/6","","","","",""
"000317243","Monograph","Language material ; Text","Volume","","","","","","","","Rossetti, Christina Georgina, 1830-1894 [person]","Called to be Saints: the minor festivals devotionally studied, by Christina G. Rossetti [Extracts from the Bible, with 'biographical additions,' etc.]","Bible.Selections. English","","","England","London","S.P.C.K","1881","","xix, 519 pages (8°)","","4823.cc.5","","","English","",""
"000341016","Monograph","Language material ; Text","Volume","","","","","","","","Rossetti, Christina Georgina, 1830-1894 [person]","The Face of the Deep: a devotional commentary on the Apocalypse. By Christina G. Rossetti [With the text.]","Bible.Revelation. English","","","England","London","S.P.C.K","1892","","552 pages (8°)","","03187.k.12","","","English","",""
"000341018","Monograph","Language material ; Text","Volume","","","","","","","","Rossetti, Christina Georgina, 1830-1894 [person]","The face of the deep: a devotional commentary on the Apocalypse. By Christina G. Rossetti ... Second edition, etc","Bible.Revelation. English","","","England ; United States of America","Brighton ; London ; New York","E. & J. B. Young ; Society for Promoting Christian Knowledge","1893","","552 pages, 22 cm","","1560/1051","","","English","With the text. Earlier edition 1892",""
"000341023","Monograph","Language material ; Text","Volume","","","","","","","","Rossetti, Christina Georgina, 1830-1894 [person]","The Face of the Deep: a devotional commentary on the Apocalypse. By the late Christina G. Rossetti [With the text.] Third edition","Bible.Revelation. English","","","England","London","Society for Promoting Christian Knowledge","1895","","552 pages (8°)","","3188.b.27","","","English","Previous edition 1893",""
"000357166","Monograph","Language material ; Text","Volume","","","","Birkhead, Edith","","person","","Birkhead, Edith [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Christina Rossetti & her Poetry [With a portrait.]","Appendix","Poetry & Life Series","number 36 [Poetry & Life Series]","England","London","G. G. Harrap","1930","","126 pages (8°)","","11863.a.11/36","","","","",""
"000555875","Monograph","Language material ; Text","Volume","","","","Buys, R. van Brakell","","person","","Buys, R. van Brakell [person]","Drie dichteressen uit het Victoriaanse tijdperk : Christina Rossetti, Emily Brontë, Elizabeth Barrett Browning","","Hoogtepunten der Engelse cultuur","number 3 [Hoogtepunten der Engelse cultuur]","","Amsterdam","","1947","","352 pages, portraits (8°)","","011840.m.67","Brontë, Emily, 1818-1848 ; Browning, Elizabeth Barrett, 1806-1861 ; Rossetti, Christina Georgina, 1830-1894","","Dutch","",""
"000622816","Monograph","Language material ; Text","Volume","","","","Cary, Elisabeth Luther","","person","","Cary, Elisabeth Luther [person] ; Rossetti, Dante Gabriel, 1828-1882 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","The Rossettis, Dante, Gabriel and Christina ... Illustrated","Appendix","","","England ; United States of America","London ; New York","G. P. Putnam's","1907","","xi, 310 pages (8°)","","10826.h.18","","","English","",""
"000992625","Monograph","Language material ; Text","Volume","","","","Dubslaff, Friedrich","","person","","Dubslaff, Friedrich [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Die Sprachform der Lyrik Christina Rossettis","Appendix","Studien zur Englischen Philologie","Heft 77 [Studien zur Englischen Philologie]","","Halle, Saale","","1933","","vi, 94 pages (8°)","","12981.f.77","","","German","",""
